group_id,pred_choice,conf,best_time,pred_time,baseline_time,regret_strict,speedup_vs_baseline_strict,regret,speedup_vs_baseline
276,vec_pragma,0.6707785725593567,1e-06,1e-06,6e-06,1.0,6.0,1.0,5.995004995004995
277,vec_pragma,0.6891903281211853,2e-06,2e-06,6e-06,1.0,3.0,1.0,2.999000499750125
278,vec_pragma,0.7008082866668701,2e-06,2e-06,6e-06,1.0,3.0,1.0,2.999000499750125
279,vec_pragma,0.7095626592636108,1.5e-06,1.5e-06,6e-06,1.0,4.0,1.0,3.9980013324450363
280,vec_pragma,0.722309410572052,2e-06,2e-06,6e-06,1.0,3.0,1.0,2.999000499750125
281,vec_pragma,0.7284666299819946,2e-06,2e-06,6e-06,1.0,3.0,1.0,2.999000499750125
282,vec_pragma,0.5795122981071472,1.5e-06,1.5e-06,6e-06,1.0,4.0,1.0,3.9980013324450363
283,vec_pragma,0.592949628829956,2e-06,2e-06,6e-06,1.0,3.0,1.0,2.999000499750125
284,vec_pragma,0.5987601280212402,1e-06,1e-06,6e-06,1.0,6.0,1.0,5.995004995004995
285,vec_pragma,0.504144012928009,1.5e-06,1.5e-06,6e-06,1.0,4.0,1.0,3.9980013324450363
286,vec_pragma,0.5151699781417847,1.5e-06,1.5e-06,6e-06,1.0,4.0,1.0,3.9980013324450363
287,vec_pragma,0.518345057964325,1.5e-06,1.5e-06,6e-06,1.0,4.0,1.0,3.9980013324450363
288,vec_pragma,0.5822503566741943,1.5e-06,1.5e-06,6e-06,1.0,4.0,1.0,3.9980013324450363
289,vec_pragma,0.5962532162666321,1.5e-06,1.5e-06,6e-06,1.0,4.0,1.0,3.9980013324450363
290,vec_pragma,0.601969301700592,2e-06,2e-06,6e-06,1.0,3.0,1.0,2.999000499750125
291,vec_pragma,0.4352335631847381,2e-06,2e-06,6e-06,1.0,3.0,1.0,2.999000499750125
292,vec_pragma,0.4432492852210998,1e-06,1e-06,6e-06,1.0,6.0,1.0,5.995004995004995
293,vec_pragma,0.4465278387069702,1.5e-06,1.5e-06,6e-06,1.0,4.0,1.0,3.9980013324450363
294,vec_pragma,0.3654127120971679,1.5e-06,1.5e-06,6e-06,1.0,4.0,1.0,3.9980013324450363
295,vec_pragma,0.3704936802387237,2e-06,2e-06,6e-06,1.0,3.0,1.0,2.999000499750125
296,vec_pragma,0.3706441521644592,1.5e-06,1.5e-06,6e-06,1.0,4.0,1.0,3.9980013324450363
297,vec_pragma,0.9374101758003236,2e-06,2e-06,1.1e-05,1.0,5.5,1.0,5.497751124437781
298,vec_pragma,0.9467757940292358,2e-06,2e-06,1.1e-05,1.0,5.5,1.0,5.497751124437781
299,vec_pragma,0.9501566290855408,2e-06,2e-06,1.2e-05,1.0,6.0,1.0,5.997501249375313
300,vec_pragma,0.8862401843070984,2e-06,2e-06,1.2e-05,1.0,6.0,1.0,5.997501249375313
301,vec_pragma,0.9029957056045532,2e-06,2e-06,1.15e-05,1.0,5.75,1.0,5.747626186906547
302,vec_pragma,0.90910005569458,2.5e-06,2.5e-06,1.15e-05,1.0,4.6,1.0,4.5985605757696915
303,vec_pragma,0.8399100303649902,2e-06,2e-06,1.2e-05,1.0,6.0,1.0,5.997501249375313
